material_description|purchase_requisition_number|line_type|commodity_code|cost_center|purchase_order_number|currency|vendor_number|purchasing_organization_description|supplier_name_l1|item_number_of_purchase_requisition|requisition_date|supplier_part_number
Delivery of Final Product per SOW – Carrier Project # P1882 (2022-09-24)|PR236831|Non-Catalog Item|Not Set|CML CHILLER DESIGN SERVICES|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|3|01 Aug 2022|Not Set
Delivery of Final Product per SOW – Carrier Project # S1243 (2022-07-30)|PR236837|Non-Catalog Item|Not Set|CML CHILLER DESIGN SERVICES|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|3|01 Aug 2022|Not Set
Delivery of Final Product per SOW – Carrier Project # S1243 (2022-08-27)|PR236837|Non-Catalog Item|Not Set|CML CHILLER DESIGN SERVICES|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|1|01 Aug 2022|Not Set
Delivery of Final Product per SOW – Carrier Project # S1243 (2022-09-24)|PR236837|Non-Catalog Item|Not Set|CML CHILLER DESIGN SERVICES|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|2|01 Aug 2022|Not Set
Delivery of Final Product per SOW – Carrier Project # S1243-clt (2022-07-30)|PR236842|Non-Catalog Item|Not Set|CML CHILLER DESIGN SERVICES|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|1|01 Aug 2022|Not Set
Delivery of Final Product per SOW – Carrier Project # S1243-clt (2022-08-27)|PR236842|Non-Catalog Item|Not Set|CML CHILLER DESIGN SERVICES|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|3|01 Aug 2022|Not Set
Delivery of Final Product per SOW – Carrier Project # S1243-clt (2022-09-24)|PR236842|Non-Catalog Item|Not Set|CML CHILLER DESIGN SERVICES|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|2|01 Aug 2022|Not Set
Frye, Tamire|PR234035-V2|Non-Catalog Item|Not Set|Plant Management - Athens|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|1|01 Aug 2022|Not Set
Golatt, Desmond|PR236826|Non-Catalog Item|Not Set|CVL - ICP ADMINISTRATION|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|1|01 Aug 2022|Not Set
Guru Support|PR221022-V2|Non-Catalog Item|Not Set|Carrier Next|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|1|01 Aug 2022|Not Set
Indianapolis travel by Guru (2022-06-30)|PR221022-V2|Non-Catalog Item|Not Set|Carrier Next|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|2|01 Aug 2022|Not Set
James Support (2022-05-01)|PR229680-V2|Non-Catalog Item|Not Set|MODEL BASED METHODS & TOOLS|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|3|01 Aug 2022|Not Set
James Support (2022-05-29)|PR229680-V2|Non-Catalog Item|Not Set|MODEL BASED METHODS & TOOLS|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|1|01 Aug 2022|Not Set
James Support (2022-06-29)|PR229680-V2|Non-Catalog Item|Not Set|MODEL BASED METHODS & TOOLS|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|2|01 Aug 2022|Not Set
James support Jul-Sep 2022|PR229680-V2|Non-Catalog Item|Not Set|MODEL BASED METHODS & TOOLS|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|4|01 Aug 2022|Not Set
Month 1 (2022-05-28)|PR236845|Non-Catalog Item|Not Set|CML CHILLER DESIGN SERVICES|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|3|01 Aug 2022|Not Set
Month 1 (2022-07-30)|PR236820|Non-Catalog Item|Not Set|CML CHILLER DESIGN SERVICES|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|6|01 Aug 2022|Not Set
Month 1 (2022-07-30)|PR236844|Non-Catalog Item|Not Set|CML CHILLER DESIGN SERVICES|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|6|01 Aug 2022|Not Set
Month 1 (2022-07-30)|PR236847|Non-Catalog Item|Not Set|CML CHILLER DESIGN SERVICES|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|1|01 Aug 2022|Not Set
Month 1 - Electric Eng (2022-04-30)|PR236839|Non-Catalog Item|Not Set|CML CHILLER DESIGN SERVICES|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|7|01 Aug 2022|Not Set
Month 1 - Electric Eng (2022-07-30)|PR236848|Non-Catalog Item|Not Set|CML CHILLER DESIGN SERVICES|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|2|01 Aug 2022|Not Set
Month 1 - Jr Electric Eng (2022-04-30)|PR236839|Non-Catalog Item|Not Set|CML CHILLER DESIGN SERVICES|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|10|01 Aug 2022|Not Set
Month 1 - Jr Electric Eng (2022-07-30)|PR236848|Non-Catalog Item|Not Set|CML CHILLER DESIGN SERVICES|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|1|01 Aug 2022|Not Set
Month 1 - Jr Electric Eng (2022-08-27)|PR236848|Non-Catalog Item|Not Set|CML CHILLER DESIGN SERVICES|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|5|01 Aug 2022|Not Set
Month 1 - Jr Mech Des (2022-07-30)|PR236836|Non-Catalog Item|Not Set|CML CHILLER DESIGN SERVICES|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|6|01 Aug 2022|Not Set
Month 1 - Jr Mech Des (2022-07-30)|PR236844|Non-Catalog Item|Not Set|CML CHILLER DESIGN SERVICES|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|2|01 Aug 2022|Not Set
Month 1 - Mech Des (2022-07-30)|PR236836|Non-Catalog Item|Not Set|CML CHILLER DESIGN SERVICES|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|1|01 Aug 2022|Not Set
Month 2 (2022-06-25)|PR236845|Non-Catalog Item|Not Set|CML CHILLER DESIGN SERVICES|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|1|01 Aug 2022|Not Set
Month 2 (2022-08-27)|PR236820|Non-Catalog Item|Not Set|CML CHILLER DESIGN SERVICES|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|2|01 Aug 2022|Not Set
Month 2 (2022-08-27)|PR236844|Non-Catalog Item|Not Set|CML CHILLER DESIGN SERVICES|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|3|01 Aug 2022|Not Set
Month 2 (2022-08-27)|PR236847|Non-Catalog Item|Not Set|CML CHILLER DESIGN SERVICES|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|2|01 Aug 2022|Not Set
Month 2 - Electric Eng (2022-08-27)|PR236848|Non-Catalog Item|Not Set|CML CHILLER DESIGN SERVICES|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|3|01 Aug 2022|Not Set
Month 2 - Jr Electric Eng (2022-05-28)|PR236839|Non-Catalog Item|Not Set|CML CHILLER DESIGN SERVICES|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|9|01 Aug 2022|Not Set
Month 2 - Jr Mech Des (2022-08-27)|PR236844|Non-Catalog Item|Not Set|CML CHILLER DESIGN SERVICES|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|1|01 Aug 2022|Not Set
Month 2 - Mech Des (2022-08-27)|PR236836|Non-Catalog Item|Not Set|CML CHILLER DESIGN SERVICES|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|2|01 Aug 2022|Not Set
Month 2- Electric Eng (2022-05-28)|PR236839|Non-Catalog Item|Not Set|CML CHILLER DESIGN SERVICES|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|1|01 Aug 2022|Not Set
Month 2- Jr Mech Des (2022-08-27)|PR236836|Non-Catalog Item|Not Set|CML CHILLER DESIGN SERVICES|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|5|01 Aug 2022|Not Set
Month 3 (2022-07-30)|PR236845|Non-Catalog Item|Not Set|CML CHILLER DESIGN SERVICES|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|2|01 Aug 2022|Not Set
Month 3 (2022-09-24)|PR236820|Non-Catalog Item|Not Set|CML CHILLER DESIGN SERVICES|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|1|01 Aug 2022|Not Set
Month 3 (2022-09-24)|PR236844|Non-Catalog Item|Not Set|CML CHILLER DESIGN SERVICES|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|4|01 Aug 2022|Not Set
Month 3 (2022-09-24)|PR236847|Non-Catalog Item|Not Set|CML CHILLER DESIGN SERVICES|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|3|01 Aug 2022|Not Set
Month 3 - Electric Eng (2022-06-25)|PR236839|Non-Catalog Item|Not Set|CML CHILLER DESIGN SERVICES|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|12|01 Aug 2022|Not Set
Month 3 - Electric Eng (2022-09-04)|PR236848|Non-Catalog Item|Not Set|CML CHILLER DESIGN SERVICES|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|4|01 Aug 2022|Not Set
Month 3 - Jr Electric Eng (2022-06-25)|PR236839|Non-Catalog Item|Not Set|CML CHILLER DESIGN SERVICES|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|11|01 Aug 2022|Not Set
Month 3 - Jr Electric Eng (2022-09-04)|PR236848|Non-Catalog Item|Not Set|CML CHILLER DESIGN SERVICES|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|6|01 Aug 2022|Not Set
Month 3 - Jr Mech Des (2022-09-24)|PR236836|Non-Catalog Item|Not Set|CML CHILLER DESIGN SERVICES|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|3|01 Aug 2022|Not Set
Month 3 - Jr Mech Des (2022-09-24)|PR236844|Non-Catalog Item|Not Set|CML CHILLER DESIGN SERVICES|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|5|01 Aug 2022|Not Set
Month 3 - Mech Des (2022-09-24)|PR236836|Non-Catalog Item|Not Set|CML CHILLER DESIGN SERVICES|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|4|01 Aug 2022|Not Set
Month 4 (2022-10-29)|PR236820|Non-Catalog Item|Not Set|CML CHILLER DESIGN SERVICES|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|4|01 Aug 2022|Not Set
Month 4 - Electric Eng (2022-07-30)|PR236839|Non-Catalog Item|Not Set|CML CHILLER DESIGN SERVICES|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|6|01 Aug 2022|Not Set
Month 4 - Jr Electric Eng (2022-07-30)|PR236839|Non-Catalog Item|Not Set|CML CHILLER DESIGN SERVICES|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|4|01 Aug 2022|Not Set
Month 5 (2022-11-26)|PR236820|Non-Catalog Item|Not Set|CML CHILLER DESIGN SERVICES|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|3|01 Aug 2022|Not Set
Month 5 - Electric Eng (2022-08-27)|PR236839|Non-Catalog Item|Not Set|CML CHILLER DESIGN SERVICES|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|5|01 Aug 2022|Not Set
Month 5 - Jr Electric Eng (2022-08-27)|PR236839|Non-Catalog Item|Not Set|CML CHILLER DESIGN SERVICES|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|3|01 Aug 2022|Not Set
Month 6 (2022-12-30)|PR236820|Non-Catalog Item|Not Set|CML CHILLER DESIGN SERVICES|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|5|01 Aug 2022|Not Set
Month 6 - Electric Eng (2022-09-24)|PR236839|Non-Catalog Item|Not Set|CML CHILLER DESIGN SERVICES|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|2|01 Aug 2022|Not Set
Month 6 - Jr Electric Eng (2022-09-24)|PR236839|Non-Catalog Item|Not Set|CML CHILLER DESIGN SERVICES|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|8|01 Aug 2022|Not Set
Moore, Laquisha|PR236835|Non-Catalog Item|Not Set|CVL - ICP ADMINISTRATION|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|1|01 Aug 2022|Not Set
Offshore design Support - Horizon for Jul22 (2022-07-31)|PR236825|Non-Catalog Item|Not Set|CML CHILLER DESIGN SERVICES|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|7|01 Aug 2022|Not Set
Offshore design Support - MAKO for Aug22 (2022-08-31)|PR236827|Non-Catalog Item|Not Set|CML CHILLER DESIGN SERVICES|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|5|01 Aug 2022|Not Set
Offshore design Support - MAKO for Jul22 (2022-07-31)|PR236827|Non-Catalog Item|Not Set|CML CHILLER DESIGN SERVICES|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|4|01 Aug 2022|Not Set
Offshore design Support - MAKO for Sep22 (2022-09-30)|PR236827|Non-Catalog Item|Not Set|CML CHILLER DESIGN SERVICES|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|2|01 Aug 2022|Not Set
Offshore drafting Support - Horizon for Aug22 (2022-08-31)|PR236825|Non-Catalog Item|Not Set|CML CHILLER DESIGN SERVICES|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|5|01 Aug 2022|Not Set
Offshore drafting Support - Horizon for Jul22 (2022-07-31)|PR236825|Non-Catalog Item|Not Set|CML CHILLER DESIGN SERVICES|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|6|01 Aug 2022|Not Set
Offshore drafting Support - Horizon for Sep22 (2022-09-30)|PR236825|Non-Catalog Item|Not Set|CML CHILLER DESIGN SERVICES|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|4|01 Aug 2022|Not Set
Offshore drafting support - MAKO for Aug22 (2022-08-31)|PR236827|Non-Catalog Item|Not Set|CML CHILLER DESIGN SERVICES|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|9|01 Aug 2022|Not Set
Offshore drafting support - MAKO for Jul22 (2022-07-31)|PR236827|Non-Catalog Item|Not Set|CML CHILLER DESIGN SERVICES|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|3|01 Aug 2022|Not Set
Offshore drafting support - MAKO for Sep22 (2022-09-30)|PR236827|Non-Catalog Item|Not Set|CML CHILLER DESIGN SERVICES|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|1|01 Aug 2022|Not Set
Onsite design Support - Horizon for Aug22 (2022-08-31)|PR236825|Non-Catalog Item|Not Set|CML CHILLER DESIGN SERVICES|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|2|01 Aug 2022|Not Set
Onsite design Support - Horizon for Jul22 (2022-07-31)|PR236825|Non-Catalog Item|Not Set|CML CHILLER DESIGN SERVICES|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|1|01 Aug 2022|Not Set
Onsite design Support - Horizon for Sep22 (2022-09-30)|PR236825|Non-Catalog Item|Not Set|CML CHILLER DESIGN SERVICES|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|3|01 Aug 2022|Not Set
Onsite design Support - MAKO for Aug22 (2022-08-31)|PR236827|Non-Catalog Item|Not Set|CML CHILLER DESIGN SERVICES|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|8|01 Aug 2022|Not Set
Onsite design Support - MAKO for Jul22 (2022-07-31)|PR236827|Non-Catalog Item|Not Set|CML CHILLER DESIGN SERVICES|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|6|01 Aug 2022|Not Set
Onsite design Support - MAKO for Sep22 (2022-09-30)|PR236827|Non-Catalog Item|Not Set|CML CHILLER DESIGN SERVICES|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|7|01 Aug 2022|Not Set
Osborne, Miriam|PR236829|Non-Catalog Item|Not Set|CVL - ICP ADMINISTRATION|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|1|01 Aug 2022|Not Set
Revit Support for Aug'22 (2022-08-31)|PR236823|Non-Catalog Item|Not Set|CML CHILLER DESIGN SERVICES|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|2|01 Aug 2022|Not Set
Revit Support for Jul'22 (2022-07-31)|PR236823|Non-Catalog Item|Not Set|CML CHILLER DESIGN SERVICES|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|1|01 Aug 2022|Not Set
Revit Support for Sep'22 (2022-09-30)|PR236823|Non-Catalog Item|Not Set|CML CHILLER DESIGN SERVICES|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|5|01 Aug 2022|Not Set
Schedule B Offshore design services for Aug22 (2022-08-31)|PR236822|Non-Catalog Item|Not Set|CML CHILLER DESIGN SERVICES|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|8|01 Aug 2022|Not Set
Schedule B Offshore design services for Jul22 (2022-07-31)|PR236822|Non-Catalog Item|Not Set|CML CHILLER DESIGN SERVICES|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|6|01 Aug 2022|Not Set
Schedule B Offshore design services for Sep22 (2022-09-30)|PR236822|Non-Catalog Item|Not Set|CML CHILLER DESIGN SERVICES|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|7|01 Aug 2022|Not Set
Schedule B Offshore drafting services for Aug22 (2022-08-31)|PR236822|Non-Catalog Item|Not Set|CML CHILLER DESIGN SERVICES|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|2|01 Aug 2022|Not Set
Schedule B Offshore drafting services for Jul22 (2022-07-31)|PR236822|Non-Catalog Item|Not Set|CML CHILLER DESIGN SERVICES|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|5|01 Aug 2022|Not Set
Schedule B Offshore drafting services for Sep22 (2022-09-30)|PR236822|Non-Catalog Item|Not Set|CML CHILLER DESIGN SERVICES|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|3|01 Aug 2022|Not Set
Schedule B Onsite design services for Aug22 (2022-08-31)|PR236822|Non-Catalog Item|Not Set|CML CHILLER DESIGN SERVICES|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|1|01 Aug 2022|Not Set
Schedule B Onsite design services for Jul22 (2022-07-31)|PR236822|Non-Catalog Item|Not Set|CML CHILLER DESIGN SERVICES|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|9|01 Aug 2022|Not Set
Schedule B Onsite design services for Sep22 (2022-09-30)|PR236822|Non-Catalog Item|Not Set|CML CHILLER DESIGN SERVICES|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|4|01 Aug 2022|Not Set
Sustenance Support for Aug22 (2022-08-31)|PR236821|Non-Catalog Item|Not Set|CML CHILLER DESIGN SERVICES|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|2|01 Aug 2022|Not Set
Sustenance Support for Jul22 (2022-07-31)|PR236821|Non-Catalog Item|Not Set|CML CHILLER DESIGN SERVICES|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|1|01 Aug 2022|Not Set
Sustenance Support for Sep22 (2022-09-30)|PR236821|Non-Catalog Item|Not Set|CML CHILLER DESIGN SERVICES|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|3|01 Aug 2022|Not Set
Williams, Kiuna|PR236833|Non-Catalog Item|Not Set|CVL - ICP ADMINISTRATION|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|1|01 Aug 2022|Not Set
TRASH AND WOOD REMOVAL TO BE INVOICED MONTHLY!|PR236729|Non-Catalog Item|Not Set|Facility Support - Athens|Unclassified|USD|40017161|Carrier Corporation|HERITAGE INTERACTIVE SERVICES INC HERITAGE INTERACTIVE SERVICES LLC|1|01 Aug 2022|Not Set
TRASH AND WOOD REMOVAL TO BE INVOICED MONTHLY!|PR236730|Non-Catalog Item|Not Set|RCG Warehouse Transition|Unclassified|USD|40017161|Carrier Corporation|HERITAGE INTERACTIVE SERVICES INC HERITAGE INTERACTIVE SERVICES LLC|1|01 Aug 2022|Not Set
22 Window Blinds for IE and Purchasing wings|PR236867|Non-Catalog Item|Not Set|BUILDING SERVICES - CVL|Unclassified|USD|40017224|Carrier Corporation|JONES LANG LASALLE AMERICAS INC JLL|1|01 Aug 2022|Not Set
JLL Fee|PR236867|Non-Catalog Item|Not Set|BUILDING SERVICES - CVL|Unclassified|USD|40017224|Carrier Corporation|JONES LANG LASALLE AMERICAS INC JLL|2|01 Aug 2022|Not Set
Racking materials and installation|PR216717-V2|Non-Catalog Item|Not Set|BNA Warehouse|Unclassified|USD|40018425|Carrier Corporation|EQUIPMENT DEPOT KENTUCKY INC|1|01 Aug 2022|Not Set
Cam Die Custom Scrap Pans|PR236995|Non-Catalog Item|Not Set|PRESS ROOM-CVL|Unclassified|USD|40000148|Carrier Corporation|O H HENDRICKS SHEET METAL INC|1|02 Aug 2022|Not Set
Repair Gear on FP 13|PR236956|Non-Catalog Item|Not Set|CVL-COIL SHOP MAINTENANCE|Unclassified|USD|40000150|Carrier Corporation|OAK PRESS SOLUTIONS INC|1|02 Aug 2022|Not Set
INVOICE 7810433 - FREIGHT OUT - MARCH 2022|PR226325-V3|Non-Catalog Item|Not Set|MATERIAL COSTS|Unclassified|USD|40000211|Carrier Corporation|WHITEPATH FAB TECH INC|1|02 Aug 2022|Not Set
Egenolf support for A90 West closing press|PR236913|Non-Catalog Item|Not Set|PRODUCTION MAINTENANCE-INDY|Unclassified|USD|40001539|Carrier Corporation|EGENOLF INDUSTRIAL GROUP INC|1|02 Aug 2022|Not Set
ZP104KCE-TFD-XXX	Production compressor|PR181334-V2|Non-Catalog Item|Not Set|RCS CMU PKG R&D ENG|Unclassified|USD|40001563|Carrier Corporation|EMERSON CLIMATE TECHNOLOGIES INC|13|02 Aug 2022|Not Set
ZP104KCE-TFD-XXX	Tested compressor|PR181334-V2|Non-Catalog Item|Not Set|RCS CMU PKG R&D ENG|Unclassified|USD|40001563|Carrier Corporation|EMERSON CLIMATE TECHNOLOGIES INC|28|02 Aug 2022|Not Set
ZP122KCE-TFD-XXX	Production compressor|PR181334-V2|Non-Catalog Item|Not Set|RCS CMU PKG R&D ENG|Unclassified|USD|40001563|Carrier Corporation|EMERSON CLIMATE TECHNOLOGIES INC|14|02 Aug 2022|Not Set
ZP122KCE-TFD-XXX	Tested compressor|PR181334-V2|Non-Catalog Item|Not Set|RCS CMU PKG R&D ENG|Unclassified|USD|40001563|Carrier Corporation|EMERSON CLIMATE TECHNOLOGIES INC|29|02 Aug 2022|Not Set
ZP154KCE-TFD-XXX	Production compressor|PR181334-V2|Non-Catalog Item|Not Set|RCS CMU PKG R&D ENG|Unclassified|USD|40001563|Carrier Corporation|EMERSON CLIMATE TECHNOLOGIES INC|15|02 Aug 2022|Not Set
ZP154KCE-TFD-XXX	Tested compressor|PR181334-V2|Non-Catalog Item|Not Set|RCS CMU PKG R&D ENG|Unclassified|USD|40001563|Carrier Corporation|EMERSON CLIMATE TECHNOLOGIES INC|30|02 Aug 2022|Not Set
ZP25K5E-TF5-XXX	Production compressor|PR181334-V2|Non-Catalog Item|Not Set|RCS CMU PKG R&D ENG|Unclassified|USD|40001563|Carrier Corporation|EMERSON CLIMATE TECHNOLOGIES INC|1|02 Aug 2022|Not Set
ZP25K5E-TF5-XXX	Tested compressor|PR181334-V2|Non-Catalog Item|Not Set|RCS CMU PKG R&D ENG|Unclassified|USD|40001563|Carrier Corporation|EMERSON CLIMATE TECHNOLOGIES INC|16|02 Aug 2022|Not Set
ZP28K5E-TF5-XXX	Production compressor|PR181334-V2|Non-Catalog Item|Not Set|RCS CMU PKG R&D ENG|Unclassified|USD|40001563|Carrier Corporation|EMERSON CLIMATE TECHNOLOGIES INC|2|02 Aug 2022|Not Set
ZP28K5E-TF5-XXX	Tested compressor|PR181334-V2|Non-Catalog Item|Not Set|RCS CMU PKG R&D ENG|Unclassified|USD|40001563|Carrier Corporation|EMERSON CLIMATE TECHNOLOGIES INC|17|02 Aug 2022|Not Set
ZP29K5E-TF5-XXX	Production compressor|PR181334-V2|Non-Catalog Item|Not Set|RCS CMU PKG R&D ENG|Unclassified|USD|40001563|Carrier Corporation|EMERSON CLIMATE TECHNOLOGIES INC|3|02 Aug 2022|Not Set
ZP29K5E-TF5-XXX	Tested compressor|PR181334-V2|Non-Catalog Item|Not Set|RCS CMU PKG R&D ENG|Unclassified|USD|40001563|Carrier Corporation|EMERSON CLIMATE TECHNOLOGIES INC|18|02 Aug 2022|Not Set
ZP36K5E-TF5-XXX	Production compressor|PR181334-V2|Non-Catalog Item|Not Set|RCS CMU PKG R&D ENG|Unclassified|USD|40001563|Carrier Corporation|EMERSON CLIMATE TECHNOLOGIES INC|4|02 Aug 2022|Not Set
ZP36K5E-TF5-XXX	Tested compressor|PR181334-V2|Non-Catalog Item|Not Set|RCS CMU PKG R&D ENG|Unclassified|USD|40001563|Carrier Corporation|EMERSON CLIMATE TECHNOLOGIES INC|19|02 Aug 2022|Not Set
ZP39K5E-TF5-XXX	Production compressor|PR181334-V2|Non-Catalog Item|Not Set|RCS CMU PKG R&D ENG|Unclassified|USD|40001563|Carrier Corporation|EMERSON CLIMATE TECHNOLOGIES INC|5|02 Aug 2022|Not Set
ZP39K5E-TF5-XXX	Tested compressor|PR181334-V2|Non-Catalog Item|Not Set|RCS CMU PKG R&D ENG|Unclassified|USD|40001563|Carrier Corporation|EMERSON CLIMATE TECHNOLOGIES INC|20|02 Aug 2022|Not Set
ZP49K5E-TFD-XXX	Production compressor|PR181334-V2|Non-Catalog Item|Not Set|RCS CMU PKG R&D ENG|Unclassified|USD|40001563|Carrier Corporation|EMERSON CLIMATE TECHNOLOGIES INC|6|02 Aug 2022|Not Set
ZP49K5E-TFD-XXX	Tested compressor|PR181334-V2|Non-Catalog Item|Not Set|RCS CMU PKG R&D ENG|Unclassified|USD|40001563|Carrier Corporation|EMERSON CLIMATE TECHNOLOGIES INC|21|02 Aug 2022|Not Set
ZP54K5E-TF5-XXX	Production compressor|PR181334-V2|Non-Catalog Item|Not Set|RCS CMU PKG R&D ENG|Unclassified|USD|40001563|Carrier Corporation|EMERSON CLIMATE TECHNOLOGIES INC|7|02 Aug 2022|Not Set
ZP54K5E-TF5-XXX	Tested compressor|PR181334-V2|Non-Catalog Item|Not Set|RCS CMU PKG R&D ENG|Unclassified|USD|40001563|Carrier Corporation|EMERSON CLIMATE TECHNOLOGIES INC|22|02 Aug 2022|Not Set
ZP61K5E-TFD-XXX	Production compressor|PR181334-V2|Non-Catalog Item|Not Set|RCS CMU PKG R&D ENG|Unclassified|USD|40001563|Carrier Corporation|EMERSON CLIMATE TECHNOLOGIES INC|8|02 Aug 2022|Not Set
ZP61K5E-TFD-XXX	Tested compressor|PR181334-V2|Non-Catalog Item|Not Set|RCS CMU PKG R&D ENG|Unclassified|USD|40001563|Carrier Corporation|EMERSON CLIMATE TECHNOLOGIES INC|23|02 Aug 2022|Not Set
ZP67KCE-TFD-XXX	Production compressor|PR181334-V2|Non-Catalog Item|Not Set|RCS CMU PKG R&D ENG|Unclassified|USD|40001563|Carrier Corporation|EMERSON CLIMATE TECHNOLOGIES INC|9|02 Aug 2022|Not Set
